Brand,Model,Inches,Price,Price_Category,DisplayType,PPI,outlier_flag
Samsung,ua50du7660k 5,50,48990,Mid-range,4K,88.12,0
Samsung,ua65du7660k 6,65,82990,High-end,4K,67.78,0
Samsung,ua55du7660k 5,55,56990,Mid-range,4K,80.11,0
Samsung,ua55du7700k 5,55,67990,High-end,4K,80.11,0
Samsung,ua50du7700k 5,50,54700,Mid-range,4K,88.12,0
Samsung,ua70du7700k 7,70,109990,Premium,4K,62.94,0
Samsung,ua75du7700k 7,75,144990,Premium,4K,58.74,0
Samsung,ua55due77ak 5,55,49990,Mid-range,4K,80.11,0
Samsung,ua43due77ak 4,43,35990,Mid-range,4K,102.46,0
Samsung,ua65due77ak 6,65,71490,High-end,4K,67.78,0
Samsung,ua55du8300u 5,55,64990,High-end,4K,80.11,0
Samsung,ua43du8300u 4,43,44990,Mid-range,4K,102.46,0
Samsung,qa55q60dau 5,55,77990,High-end,4K,80.11,0
Samsung,ua65du8300u 6,65,89990,High-end,4K,67.78,0
Samsung,qa50q60dau 5,50,64990,High-end,4K,88.12,0
Samsung,qa65q60dau 6,65,121990,Premium,4K,67.78,0
Samsung,ua75du8300u 7,75,149990,Premium,4K,58.74,0
Samsung,qa75q60dau 7,75,284990,Luxury,4K,58.74,1
Samsung,qa43q60dau 4,43,56990,Mid-range,4K,102.46,0
Samsung,ua50du8300u 5,50,54990,Mid-range,4K,88.12,0
Samsung,qa85q60dau 8,85,499990,Luxury,4K,51.83,1
Samsung,ua85du8300u 8,85,329990,Luxury,4K,51.83,1
Innoq,24e-npro 2,24,5490,Budget,HD-Ready,65.3,0
Innoq,43e-delux 4,43,14990,Affordable,Full HD,51.23,0
Tcl,50v6b 5,50,32990,Mid-range,4K,88.12,0
Tcl,32l4b 3,32,13490,Affordable,HD-Ready,48.97,0
Tcl,55v6b 5,55,35990,Mid-range,4K,80.11,0
Tcl,55p71b pro 5,55,44990,Mid-range,4K,80.11,0
Tcl,65p71b pro 6,65,64990,High-end,4K,67.78,0
Tcl,65v6b 6,65,52990,Mid-range,4K,67.78,0
Tcl,75p71b pro 7,75,89990,High-end,4K,58.74,0
Tcl,75v6b 7,75,79990,High-end,4K,58.74,0
Impex,evoq 43s3rld2 4,43,23990,Affordable,Full HD,51.23,0
Kodak,43se5004bl 4,43,14999,Affordable,Full HD,51.23,0
Samsung,ua65du7700k 6,65,95990,High-end,4K,67.78,0
Samsung,ua43du7000k 4,43,41200,Mid-range,4K,102.46,0
Samsung,qa65qn800du 6,65,377490,Luxury,QLED 8K UHD,135.56,1
Samsung,qa85qn90dau 8,85,629990,Luxury,QLED 4K,51.83,1
Samsung,qa98qn90dau 9,98,1399990,Luxury,QLED 4K,44.96,1
Samsung,qa55qn90dau 5,55,156990,Premium,QLED 4K,80.11,0
Samsung,qa65qn85dbu 6,65,187490,Premium,QLED 4K,67.78,1
Samsung,qa75qn800du 7,75,849990,Luxury,QLED 8K UHD,117.49,1
Samsung,qa55qn85dbu 5,55,139990,Premium,QLED 4K,80.11,0
Samsung,qa65qn90dau 6,65,212490,Luxury,QLED 4K,67.78,1
Samsung,qa75qn85dbu 7,75,414990,Luxury,QLED 4K,58.74,1
Samsung,qa55s95dau 5,55,204990,Luxury,4K,80.11,1
Bpl,32-d4301 3,32,13490,Affordable,HD-Ready,48.97,0
Impex,platina 32 m4e9lf 3,32,8499,Budget,HD-Ready,48.97,0
Aisen,a32hds624 3,32,10490,Affordable,HD-Ready,48.97,0
Bpl,43f-e2300 4,43,20990,Affordable,Full HD,51.23,0
Bpl,55u-d5310 5,55,38990,Mid-range,4K,80.11,0
Bpl,32h-d7300 3,32,13490,Affordable,HD-Ready,48.97,0
Lg,55qned83sra 5,55,94990,High-end,4K,80.11,0
Lg,65qned83sra 6,65,135990,Premium,4K,67.78,0
Lg,86qned80sra 8,86,649990,Luxury,4K,51.23,1
Lg,86qned99sqb 8,86,1369990,Luxury,8K UHD,102.46,1
Salora,slv-3505 gtv 5,50,34999,Mid-range,4K,88.12,0
Impex,platina 43 m4e9lf 4,43,15999,Affordable,Full HD,51.23,0
Salora,slv-3555 qgtv 5,55,39999,Mid-range,4K,80.11,0
Candy,ca43c9ug 4,43,24990,Affordable,4K,102.46,0
Dyanora,dy-ld24h1n 2,24,5999,Budget,HD-Ready,65.3,0
Panasonic,th-65mx850dx 6,65,99860,High-end,4K,67.78,0
Lloyd,32ws551e 3,32,16979,Affordable,HD-Ready,48.97,0
Onida,43uig-r 4,43,27159,Affordable,4K,102.46,0
Panasonic,th-75mx740dx 7,75,124990,Premium,4K,58.74,0
Panasonic,th-43mx750dx 4,43,41489,Mid-range,4K,102.46,0
Panasonic,th-55mx750dx 5,55,57929,Mid-range,4K,80.11,0
Croma,crel032hbc024602 3,32,7990,Budget,HD-Ready,48.97,0
Croma,crel075ugb024601 7,75,149990,Premium,LED 4K,58.74,0
Aiwa,magnifiq as43uhdx1-gtv 4,43,28990,Affordable,4K,102.46,0
Impex,grande 65 smart au00bl 6,65,56900,Mid-range,4K,67.78,0
Aiwa,magnifiq as55uhdx1-gtv 5,55,37890,Mid-range,4K,80.11,0
Fox-trot,4k-hb 4,43,20099,Affordable,4K,102.46,0
Vise,vs65uwc1a 6,65,52990,Mid-range,4K,67.78,0
Panasonic,th-65mx800dx 6,65,82960,High-end,4K,67.78,0
Lg,oled97g2psa 9,97,1999990,Luxury,EVO 4K,45.42,1
Croma,crel032hbd307601 3,32,7590,Budget,HD-Ready,48.97,0
Panasonic,th-43ms680dx 4,43,32490,Mid-range,Full HD,51.23,0
Lg,75qned80sra 7,75,439990,Luxury,4K,58.74,1
Croma,55ugc024602 5,55,39990,Mid-range,4K,80.11,0
Croma,50ugc024602 5,50,34990,Mid-range,4K,88.12,0
Itel,l3265 3,32,9900,Budget,HD-Ready,48.97,0
Impex,evoq 65s4rlc2 6,65,61490,High-end,4K,67.78,0
Croma,32hgc024602 3,32,10990,Affordable,HD-Ready,48.97,0
Reliance,re32mp3972 3,32,11039,Affordable,HD-Ready,48.97,0
Bpl,32h-d2300 3,32,12990,Affordable,HD-Ready,48.97,0
Panasonic,th-43ms550dx 4,43,25590,Affordable,Full HD,51.23,0
Tcl,43s5400a 4,43,22990,Affordable,Full HD,51.23,0
Tcl,75c645 7,75,159990,Premium,4K,58.74,0
T-series,ts80c-a 3,32,10990,Affordable,HD-Ready,48.97,0
T-series,43two400f 4,43,27990,Affordable,Full HD,51.23,0
Bpl,43u-c7312 4,43,27390,Affordable,4K,102.46,0
Panasonic,th-55mx740dx 5,55,53990,Mid-range,4K,80.11,0
Haier,h43gs 4,43,30990,Mid-range,4K,102.46,0
Haier,l65fg 6,65,57990,Mid-range,4K,67.78,0
Haier,l50fg 5,50,32990,Mid-range,4K,88.12,0
Dyanora,au series dy-ld43f0s 4,43,16999,Affordable,Full HD,51.23,0
Croma,crel43fsd24601 4,43,16690,Affordable,Full HD,51.23,0
Lg,50ur7550psc 5,50,50990,Mid-range,4K,88.12,0
Detel,di65bsakb 6,65,119999,Premium,4K,67.78,0
Panasonic,th-65mx710dx 6,65,68780,High-end,4K,67.78,0
Lg,55qned80sra 5,55,75990,High-end,4K,80.11,0
Croma,43ugc024601 4,43,26990,Affordable,4K,102.46,0
Panasonic,th-55mx850dx 5,55,67459,High-end,4K,80.11,0
Croma,32hsc24601 3,32,8499,Budget,HD-Ready,48.97,0
Kevin,kn43fl 4,43,15499,Affordable,Full HD,51.23,0
Croma,50ugc024601 5,50,33990,Mid-range,4K,88.12,0
Infinix,w1 4,43,21999,Affordable,4K,102.46,0
Infinix,w1 3,32,11499,Affordable,HD-Ready,48.97,0
Samsung,ua75cu7650kx 7,75,138990,Premium,4K,58.74,0
Samsung,ua65cu7650kl 6,65,88990,High-end,4K,67.78,0
Lg,65qned80sra 6,65,169990,Premium,4K,67.78,0
Aiwa,a43fhdx1 4,43,20990,Affordable,4K,102.46,0
Lg,65ur7550psc 6,65,74990,High-end,4K,67.78,0
Panasonic,th-32ms680dx 3,32,19490,Affordable,HD-Ready,48.97,0
Sony,bravia xr-85x95l 8,85,503490,Luxury,LED 4K,51.83,1
Lg,43ur7550psc 4,43,37090,Mid-range,4K,102.46,0
Lg,55ur7550psc 5,55,50990,Mid-range,4K,80.11,0
Haier,43p7gt 4,43,34990,Mid-range,4K,102.46,0
Haier,50p7gt 5,50,37950,Mid-range,4K,88.12,0
Haier,65p7gt 6,65,63950,High-end,4K,67.78,0
Croma,crel065ugc024601 6,65,55990,Mid-range,4K,67.78,0
Croma,43fgd024601 4,43,22990,Affordable,Full HD,51.23,0
Croma,55ugc024601 5,55,38990,Mid-range,4K,80.11,0
Lloyd,65qx900d 6,65,68590,High-end,4K,67.78,0
Sansui,jsw86asuhdff 8,86,179999,Premium,4K,51.23,1
Lg,43ur8050psb 4,43,38990,Mid-range,4K,102.46,0
Lg,55ur8050psb 5,55,55490,Mid-range,4K,80.11,0
Lg,43uq7300pta 4,43,38499,Mid-range,4K,102.46,0
Lg,50ur8050psb 5,50,51990,Mid-range,4K,88.12,0
Lg,70ur8050psb 7,70,88990,High-end,4K,62.94,0
Lg,75ur8050psb 7,75,127990,Premium,4K,58.74,0
Lg,86ur8050psb 8,86,289990,Luxury,4K,51.23,1
Samsung,qa77s90cak 7,77,449990,Luxury,4K,57.22,1
Lg,32lq640bpta 3,32,19999,Affordable,HD-Ready,48.97,0
Panasonic,th-43mx740dx 4,43,39490,Mid-range,4K,102.46,0
Samsung,qa55s95cak 5,55,202490,Luxury,4K,80.11,1
Samsung,qa77s95cak 7,77,499990,Luxury,4K,57.22,1
Panasonic,th-55lz950dx 5,55,125740,Premium,4K,80.11,0
Panasonic,th-65lz950dx 6,65,189839,Premium,4K,67.78,1
Croma,crel032hgc024601 3,32,12990,Affordable,HD-Ready,48.97,0
Lg,oled42c3psa 4,42,119990,Premium,EVO 4K,104.9,0
Lg,oled77c3psa 7,77,459990,Luxury,EVO 4K,57.22,1
Lg,oled55c3xsa 5,55,167990,Premium,EVO 4K,80.11,0
Lg,oled83c3psa 8,83,717090,Luxury,EVO 4K,53.08,1
Lg,oled55g3psa 5,55,164990,Premium,EVO 4K,80.11,0
Lg,oled65c3xsa 6,65,216490,Luxury,EVO 4K,67.78,1
Lg,oled77b3psa 7,77,469990,Luxury,4K,57.22,1
Lg,oled48c3xsa 4,48,107990,Premium,EVO 4K,91.79,0
Samsung,qa65q70cak 6,65,126990,Premium,4K,67.78,0
Lg,65ur8050psb 6,65,81990,High-end,4K,67.78,0
Samsung,ua85cu8000k 8,85,369990,Luxury,4K,51.83,1
Samsung,qa65qn700ck 6,65,314990,Luxury,QLED 8K UHD,135.56,1
Haier,55s8gt 5,55,52490,Mid-range,4K,80.11,0
Aiwa,magnifiq a32hdx1 3,32,12490,Affordable,HD-Ready,48.97,0
Jvc,lt-58nq7135cgx 5,58,52990,Mid-range,4K,75.96,0
Cellecor,e32n 3,32,8399,Budget,HD-Ready,48.97,0
Samsung,ua75cu7700k 7,75,149990,Premium,4K,58.74,0
Samsung,ua75cu8000k 7,75,175990,Premium,4K,58.74,1
Samsung,qa65q60cak 6,65,124900,Premium,4K,67.78,0
Samsung,qa75q60cak 7,75,284990,Luxury,4K,58.74,1
Samsung,qa85q60cak 8,85,524990,Luxury,4K,51.83,1
Samsung,qa65qn95cak 6,65,284990,Luxury,QLED 4K,67.78,1
Samsung,qa55qn95cak 6,65,189990,Premium,QLED 4K,67.78,1
Samsung,ua43t5410ak 4,43,27490,Affordable,Full HD,51.23,0
Haier,le32a7 3,32,12490,Affordable,HD-Ready,48.97,0
Haier,le32a9000 3,32,15490,Affordable,HD-Ready,48.97,0
Samsung,ua43cu8000k 4,43,45290,Mid-range,4K,102.46,0
Samsung,qa55q60cak 5,55,88990,High-end,4K,80.11,0
Samsung,ua65cu7700k 6,65,93990,High-end,4K,67.78,0
Samsung,qa50q60cak 5,50,69990,High-end,4K,88.12,0
Onida,43uif-r 4,43,25999,Affordable,4K,102.46,0
Haier,le40k7700ga 4,40,26990,Affordable,Full HD,55.07,0
Akai,aklt24n-d53w 2,24,7850,Budget,HD-Ready,65.3,0
Samsung,ua55cu7700k 5,55,62490,High-end,4K,80.11,0
Croma,crel065uga024601 6,65,69990,High-end,4K,67.78,0
Amstrad,am55ug11nxt 5,55,38250,Mid-range,4K,80.11,0
Amstrad,am43ug11nxt 4,43,27490,Affordable,4K,102.46,0
Samsung,ua65cu8000k 6,65,89490,High-end,4K,67.78,0
Samsung,ua55cu8000k 5,55,64290,High-end,4K,80.11,0
Croma,crel024hbb024602 2,24,5190,Budget,HD-Ready,65.3,0
Haier,43ega1 4,43,26990,Affordable,Full HD,51.23,0
Haier,le43k7700uga 4,43,29999,Affordable,4K,102.46,0
Croma,crel055uga024601 5,55,54990,Mid-range,4K,80.11,0
Jvc,lt-75nq7115cgx 7,75,114490,Premium,4K,58.74,0
Jvc,lt-65nq7115cgx 6,65,67490,High-end,4K,67.78,0
Haier,k series le43k7ga 4,43,33899,Mid-range,Full HD,51.23,0
Tcl,32s5201 3,32,13900,Affordable,Full HD,68.84,0
Samsung,ua32t4360 3,32,17623,Affordable,HD-Ready,48.97,0
Lloyd,55us850d 5,55,87210,High-end,4K,80.11,0
Impex,grande 50 smart au00bl 5,50,33990,Mid-range,4K,88.12,0
Panasonic,th-32ls670dx 3,32,23500,Affordable,HD-Ready,48.97,0
Bush,32sflo 3,32,9998,Budget,Full HD,68.84,0
Samsung,ua32t4110ar 3,32,19999,Affordable,HD-Ready,48.97,0
Thomson,5q50h1000 5,50,33999,Mid-range,4K,88.12,0
Lg,65nano75sqa 6,65,90990,High-end,4K,67.78,0
Itel,a2410ie 2,24,8800,Budget,HD-Ready,65.3,0
Panasonic,th-42js650dx 4,42,40849,Mid-range,Full HD,52.45,0
Panasonic,th-43lx750dx 4,43,40990,Mid-range,4K,102.46,0
Salora,slv-4324sl 3,32,10499,Affordable,HD-Ready,48.97,0
Imee,supreme 43sflcs 4,43,22999,Affordable,Full HD,51.23,0
Imee,elite pro 43sfl 4,43,29550,Affordable,Full HD,51.23,0
Impex,fiesta 55ufx2ac11 5,55,59990,Mid-range,4K,80.11,0
Imee,signature 65sflvc 6,65,64999,High-end,4K,67.78,0
Tcl,55p616 5,55,45990,Mid-range,4K,80.42,0
Panasonic,th-32ls550dx 3,32,26599,Affordable,HD-Ready,48.97,0
Tcl,55p735 5,55,49990,Mid-range,4K,80.11,0
Tcl,65p735 6,65,65990,High-end,4K,67.78,0
Tcl,50p735 5,50,38990,Mid-range,4K,88.12,0
Imee,signature 55sflvc 5,55,40999,Mid-range,4K,80.11,0
Lg,86nano75sqa 8,86,554990,Luxury,4K,51.23,1
Lg,55nano75sqa 5,55,64490,High-end,4K,80.11,0
Croma,crel043foa024601 4,43,23990,Affordable,Full HD,51.23,0
Tcl,75c835 7,75,429990,Luxury,4K,58.74,1
Tcl,65c835 6,65,309990,Luxury,4K,67.78,1
Jvc,lt-32n385cve 3,32,10990,Affordable,HD-Ready,48.97,0
Tcl,75c635 7,75,299990,Luxury,4K,58.74,1
Lg,oled65c2xsc 6,65,179990,Premium,EVO 4K,67.78,1
Sony,bravia kd-55x85k 5,55,84990,High-end,4K,80.11,0
Jvc,lt-32n385cce 3,32,10490,Affordable,HD-Ready,48.97,0
Jvc,lt-43n5105cve 4,43,20490,Affordable,Full HD,51.23,0
Samsung,qa55q70bak 5,55,99990,High-end,4K,80.11,0
Samsung,qa75q70bak 7,75,349990,Luxury,4K,58.74,1
Samsung,ua50bu8000k 5,50,63990,High-end,4K,88.12,0
Sony,bravia xr-85z9j 8,85,899990,Luxury,8K UHD,103.67,1
Croma,crel065uoa024601 6,65,59990,Mid-range,4K,67.78,0
Samsung,ua85bu8000k 8,85,399990,Luxury,4K,51.83,1
Panasonic,th-75lx730dx 7,75,179990,Premium,4K,58.74,1
Samsung,qa65qn700bk 6,65,324990,Luxury,QLED 8K UHD,135.56,1
Samsung,ua75bu8000k 7,75,204990,Luxury,4K,58.74,1
Samsung,ua65bu8000k 6,65,112990,Premium,4K,67.78,0
Cornea,55corfls05 5,55,34199,Mid-range,4K,80.11,0
Panasonic,th-32j200dx 3,32,14561,Affordable,HD-Ready,48.97,0
Samsung,qa65q60bak 6,65,174990,Premium,4K,67.78,1
Imee,elite 43sfl 4,43,29999,Affordable,Full HD,51.23,0
Samsung,qa98qn90aakxxl 9,98,1999000,Luxury,4K,44.96,1
Samsung,qa85qn900ak 8,85,1350000,Luxury,8K UHD,103.67,1
Samsung,qa43q60bak 4,43,64990,High-end,4K,102.46,0
Samsung,qa85qn900bk 8,85,1349990,Luxury,QLED 8K UHD,103.67,1
Samsung,qa65qn800bk 6,65,374990,Luxury,QLED 8K UHD,135.56,1
Samsung,qa75q60bak 7,75,319990,Luxury,4K,58.74,1
Samsung,crystal 75au7700 7,75,184990,Premium,4K,58.74,1
Samsung,qa65q80aak 6,65,189990,Premium,4K,67.78,1
Impex,grande 43 au10 4,43,24999,Affordable,Full HD,51.23,0
Lg,65up8000ptz 6,65,84990,High-end,4K,67.78,0
Impex,grande 32 au20 3,32,14990,Affordable,HD-Ready,48.97,0
Akai,aklt40s-d409w 4,40,30990,Mid-range,HD-Ready,39.18,0
Lloyd,43us850c 4,43,33781,Mid-range,4K,102.46,0
Lloyd,58us900c 5,58,65340,High-end,4K,75.96,0
Lloyd,50us900b 5,50,42990,Mid-range,4K,88.12,0
Bpl,65u-a4310 6,65,56990,Mid-range,4K,67.78,0
Lloyd,32hs550c 3,32,16490,Affordable,HD-Ready,48.97,0
Lloyd,32hb250c 3,32,14329,Affordable,HD-Ready,48.97,0
Lg,50up7550ptz 5,50,48990,Mid-range,4K,88.12,0
Samsung,qa65qn700ak 6,65,319990,Luxury,8K UHD,135.56,1
Lg,55nano75tpz 5,55,57990,Mid-range,4K,80.11,0
Lg,65nano75tpz 6,65,79990,High-end,4K,67.78,0
Lg,65nano95tna 6,65,210990,Luxury,8K UHD,135.56,1
Lg,43lm5620pta 4,43,32990,Mid-range,Full HD,51.23,0
Samsung,ua85au8000k 8,85,394990,Luxury,4K,51.83,1
Samsung,qa75qn85aak 7,75,424990,Luxury,4K,58.74,1
Detel,di49ska 4,49,69999,High-end,4K,89.91,0
Sansui,jsw32nshd 3,32,17990,Affordable,HD-Ready,48.97,0
Panasonic,viera th-65jx750dx 6,65,79100,High-end,4K,67.78,0
Haier,le32d4000 3,32,12990,Affordable,HD-Ready,48.97,0
Lg,43up7750ptz 4,43,37092,Mid-range,4K,102.46,0
Samsung,ua65au8000k 6,65,69990,High-end,4K,67.78,0
Samsung,ua65au9070ul 6,65,111990,Premium,4K,67.78,0
Samsung,qa65q60aak 6,65,154990,Premium,4K,67.78,0
Samsung,qa55q80aak 5,55,84990,High-end,4K,80.11,0
Lloyd,l43fs301b 4,43,29995,Affordable,Full HD,51.23,0
Toshiba,65u8080 6,65,99999,High-end,4K,67.78,0
Lg,55un7350ptd 5,55,49990,Mid-range,4K,80.11,0
Samsung,qa98q80cak 9,98,824990,Luxury,4K,44.96,1
Sharp,lc-32le185m 3,32,24950,Affordable,HD-Ready,48.97,0
Lg,65un7300ptc 6,65,111990,Premium,4K,67.78,0
Lloyd,l32hb250b 3,32,14799,Affordable,HD-Ready,48.97,0
Lg,75un8000ptb 7,75,119990,Premium,4K,58.74,0
Samsung,ua65mu6470u 6,65,293900,Luxury,4K,67.78,1
Haier,55p7gt 5,55,42750,Mid-range,4K,80.11,0
Haier,le32k8200gt 3,32,14490,Affordable,HD-Ready,48.97,0
